Row,Timestamp,Combined Event Source,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,InputEventSource,Data,StimType.1,CPU Sys,Memory Sys,CPU Proc,Memory Proc,Event Group,Event Label,Event Text,Event Index,Category 1 active on ScreenRecording-1,Category 1 instance on ScreenRecording-1,CatI_tem1 active on ScreenRecording-1,CatI_tem1 instance on ScreenRecording-1
1,29,SlideEvents,StartSlide,TestImage,3000000.0,StimuliDisplay,ScreenRecording-1,,,,,,,,,,,,,,,
2,31,External Events API iMotions.SysMonitor SysLoadMeter (v1),,,,,ScreenRecording-1,,,,3.50536322593689,61.091637868579,0.851414084434509,2756.24609375,,,,,,,,
3,334,SlideEvents,StartMedia,TestImage,3000000.0,StimuliDisplay,ScreenRecording-1,,,,,,,,,,,,,,,
4,1085,External Events API iMotions.SysMonitor SysLoadMeter (v1),,,,,ScreenRecording-1,,,,2.66875028610229,62.848541234655,2.14823937416077,3012.33203125,,,,,,,,
5,1736,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:957;Y:543,TestImage,,,,,,,,,,,,
6,1760,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:656;Y:150,TestImage,,,,,,,,,,,,
7,1782,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:325;Y:-91,TestImage,,,,,,,,,,,,
8,1806,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:6;Y:-32,TestImage,,,,,,,,,,,,
9,1830,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:-7;Y:-5,TestImage,,,,,,,,,,,,
10,1854,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:13;Y:-6,TestImage,,,,,,,,,,,,
11,1878,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:115;Y:-20,TestImage,,,,,,,,,,,,
12,1902,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:364;Y:-36,TestImage,,,,,,,,,,,,
13,1932,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:674;Y:-29,TestImage,,,,,,,,,,,,
14,1959,ET_UserInputEvents,,,,,ScreenRecording-1,Mouse,Id:M;X:1048;Y:-29,TestImage,,,,,,,,,,,,
