feature,importance
EEG_Delta_TP9_mean,0.77900755
EEG_Beta_TP9_q25,0.087569274
EEG_Delta_TP9_q25,0.043506734
EEG_Beta_TP9_mean,0.032197814
EEG_UnixTime_mean,0.014438473
EEG_Gamma_TP9_range,0.009447163
EEG_Gamma_TP9_q75,0.0070971576
EEG_Alpha_AF7_kurtosis,0.004814275
EEG_Gamma_AF7_std,0.0032668118
EEG_Delta_TP9_min,0.002375595
EEG_Alpha_AF7_std,0.002114062
EEG_Beta_TP9_q75,0.0017030443
EEG_Theta_AF7_mean,0.0014693069
EEG_Alpha_AF8_max,0.0012419074
EEG_Alpha_AF7_mean,0.0012297876
EEG_Theta_AF7_median,0.0010877412
EEG_Beta_TP9_median,0.00088901294
EEG_Theta_AF7_std,0.0008516372
EEG_Gamma_AF7_range,0.00074466
EEG_Gamma_TP9_min,0.00072235934
EEG_UnixTime_std,0.00057621073
EEG_Delta_AF8_std,0.00053442264
EEG_UnixTime_range,0.00052282464
EEG_Gamma_AF8_std,0.0003928174
EEG_Beta_AF7_std,0.0003577529
EEG_UnixTime_skew,0.00023696221
EEG_Gamma_TP9_std,0.00016937396
EEG_Delta_AF7_skew,0.00016047196
EEG_Beta_AF8_skew,0.0001530933
EEG_Gamma_TP9_mean,0.00013500566
EEG_Delta_AF8_max,0.0001267229
EEG_Beta_TP9_max,0.00010200108
EEG_Beta_TP9_kurtosis,8.6641805e-05
EEG_Delta_AF7_std,7.880971e-05
EEG_Delta_TP9_std,7.5402175e-05
EEG_Alpha_AF8_skew,7.48668e-05
EEG_Delta_TP9_skew,6.4918175e-05
EEG_UnixTime_kurtosis,6.346429e-05
EEG_Theta_TP9_kurtosis,4.681203e-05
EEG_Theta_AF8_skew,4.1900654e-05
EEG_Gamma_AF7_min,3.7996862e-05
EEG_Theta_TP9_skew,3.0743155e-05
EEG_Beta_TP9_std,2.6940648e-05
EEG_Alpha_AF8_std,2.0896092e-05
EEG_Gamma_TP9_max,1.718704e-05
EEG_Gamma_TP9_kurtosis,1.4604627e-05
EEG_Theta_TP9_mean,1.2727469e-05
EEG_Theta_AF8_std,1.2582302e-05
EEG_Theta_TP9_std,1.2328199e-05
EEG_Delta_AF8_mean,1.1310976e-05
EEG_Theta_AF7_max,1.0696387e-05
EEG_Delta_TP9_kurtosis,8.355564e-06
EEG_Gamma_AF7_mean,4.9364153e-06
EEG_Theta_AF7_skew,3.881499e-06
EEG_Beta_AF7_max,0.0
EEG_Beta_AF7_min,0.0
EEG_Beta_AF7_range,0.0
EEG_Beta_AF8_std,0.0
EEG_Beta_AF7_mean,0.0
EEG_UnixTime_median,0.0
EEG_Beta_AF7_median,0.0
EEG_Beta_TP9_skew,0.0
EEG_Beta_AF7_skew,0.0
EEG_Beta_AF7_kurtosis,0.0
EEG_Beta_TP9_range,0.0
EEG_Beta_AF7_q25,0.0
EEG_Beta_TP9_min,0.0
EEG_Beta_AF7_q75,0.0
EEG_Beta_AF8_mean,0.0
EEG_Delta_TP9_median,0.0
EEG_Beta_AF8_min,0.0
EEG_Beta_AF8_max,0.0
EEG_Gamma_AF8_q25,0.0
EEG_Gamma_AF8_kurtosis,0.0
EEG_Gamma_AF8_skew,0.0
EEG_Gamma_AF8_median,0.0
EEG_Gamma_AF8_range,0.0
EEG_Gamma_AF8_max,0.0
EEG_Gamma_AF8_min,0.0
EEG_Gamma_AF8_mean,0.0
EEG_Gamma_AF7_q75,0.0
EEG_Gamma_AF7_q25,0.0
EEG_Gamma_AF7_kurtosis,0.0
EEG_Gamma_AF7_skew,0.0
EEG_Gamma_AF7_median,0.0
EEG_Gamma_AF7_max,0.0
EEG_UnixTime_min,0.0
EEG_UnixTime_max,0.0
EEG_Gamma_TP9_q25,0.0
EEG_Gamma_TP9_skew,0.0
EEG_Gamma_TP9_median,0.0
EEG_Alpha_AF8_q25,0.0
EEG_Beta_AF8_q75,0.0
EEG_Beta_AF8_q25,0.0
EEG_Beta_AF8_kurtosis,0.0
EEG_Beta_AF8_median,0.0
EEG_Beta_AF8_range,0.0
EEG_Alpha_AF8_q75,0.0
EEG_UnixTime_q75,0.0
EEG_Alpha_AF8_kurtosis,0.0
EEG_Theta_AF7_q75,0.0
EEG_Theta_AF7_kurtosis,0.0
EEG_Theta_AF7_range,0.0
EEG_Theta_AF7_min,0.0
EEG_Delta_TP9_max,0.0
EEG_Theta_TP9_q75,0.0
EEG_Theta_TP9_q25,0.0
EEG_Theta_TP9_median,0.0
EEG_Theta_TP9_range,0.0
EEG_Theta_TP9_max,0.0
EEG_Theta_TP9_min,0.0
EEG_Delta_AF8_q75,0.0
EEG_Delta_AF8_q25,0.0
EEG_Delta_AF8_kurtosis,0.0
EEG_Delta_AF8_skew,0.0
EEG_Delta_AF8_median,0.0
EEG_Delta_AF8_range,0.0
EEG_Delta_AF8_min,0.0
EEG_Delta_AF7_q75,0.0
EEG_Delta_AF7_q25,0.0
EEG_Delta_AF7_kurtosis,0.0
EEG_Delta_AF7_median,0.0
EEG_Delta_AF7_range,0.0
EEG_Delta_AF7_max,0.0
EEG_Delta_AF7_min,0.0
EEG_Delta_AF7_mean,0.0
EEG_Delta_TP9_q75,0.0
EEG_Delta_TP9_range,0.0
EEG_Theta_AF7_q25,0.0
EEG_Theta_AF8_mean,0.0
EEG_Alpha_AF8_median,0.0
EEG_Theta_AF8_min,0.0
EEG_Alpha_AF8_range,0.0
EEG_UnixTime_q25,0.0
EEG_Alpha_AF8_min,0.0
EEG_Alpha_AF8_mean,0.0
EEG_Alpha_AF7_q75,0.0
EEG_Alpha_AF7_q25,0.0
EEG_Alpha_AF7_skew,0.0
EEG_Alpha_AF7_median,0.0
EEG_Alpha_AF7_range,0.0
EEG_Alpha_AF7_max,0.0
EEG_Alpha_AF7_min,0.0
EEG_Alpha_TP9_q75,0.0
EEG_Alpha_TP9_q25,0.0
EEG_Alpha_TP9_kurtosis,0.0
EEG_Alpha_TP9_skew,0.0
EEG_Alpha_TP9_median,0.0
EEG_Alpha_TP9_range,0.0
EEG_Alpha_TP9_max,0.0
EEG_Alpha_TP9_min,0.0
EEG_Alpha_TP9_std,0.0
EEG_Alpha_TP9_mean,0.0
EEG_Theta_AF8_q75,0.0
EEG_Theta_AF8_q25,0.0
EEG_Theta_AF8_kurtosis,0.0
EEG_Theta_AF8_median,0.0
EEG_Theta_AF8_range,0.0
EEG_Theta_AF8_max,0.0
EEG_Gamma_AF8_q75,0.0
